1991,2001,2011
73.02,81.3,86.6
44.08,60.47,67
41.59,54.34,65.4
52.89,63.25,72.2
37.49,47,61.8
77.81,81.94,86
42.91,64.66,70.3
40.71,57.63,76.2
71.2,78.18,87.1
75.29,81.67,86.2
75.51,82.01,88.7
61.29,69.14,78
55.85,67.91,75.6
63.86,76.48,82.8
41.39,53.56,66.4
56.04,66.64,75.4
89.81,90.86,94
81.78,86.66,91.8
44.67,63.74,69.3
64.87,76.88,82.3
59.89,70.53,76.9
49.1,62.56,74.4
82.26,88.8,91.3
61.65,66.59,79.6
49.09,63.08,72.9
74.74,81.24,85.8
58.51,69.65,75.8
38.55,60.41,66.1
56.94,68.81,81.4
62.66,73.45,80.1
60.44,73.19,87.2
40.71,56.27,67.7
57.75,71.62,78.8
57.7,68.64,76.3
